file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_tense_sae_layer12.parquet,aspect,1.0,2000,0.0001,none,1411,0,32763,2,0.9964539007092199,0.9929328621908127,8,2.168682336807251,
qp_tense_sae_layer12.parquet,aspect,1.0,3000,0.0001,none,1411,0,32763,2,0.9964539007092199,0.9929328621908127,8,2.1640875339508057,
qp_tense_sae_layer12.parquet,aspect,1.0,4000,0.0001,none,1411,0,32763,2,0.9964539007092199,0.9929328621908127,8,2.16298246383667,
qp_tense_sae_layer12.parquet,aspect,1.0,5000,0.0001,none,1411,0,32763,2,0.9964539007092199,0.9929328621908127,8,2.1260838508605957,
qp_tense_sae_layer13.parquet,tense,0.25,1000,0.0001,none,1411,0,32768,7,0.9813829787234043,0.9823321554770318,13,2.3132474422454834,
qp_tense_sae_layer13.parquet,tense,0.25,2000,0.0001,none,1411,0,32768,7,0.9813829787234043,0.9823321554770318,13,2.3456473350524902,
qp_tense_sae_layer13.parquet,tense,0.25,3000,0.0001,none,1411,0,32768,7,0.9813829787234043,0.9823321554770318,13,2.352289915084839,
qp_tense_sae_layer13.parquet,tense,0.25,4000,0.0001,none,1411,0,32768,7,0.9813829787234043,0.9823321554770318,13,2.252944231033325,
qp_tense_sae_layer13.parquet,tense,0.25,5000,0.0001,none,1411,0,32768,7,0.9813829787234043,0.9823321554770318,13,2.360100507736206,
qp_tense_sae_layer13.parquet,tense,0.5,1000,0.0001,none,1411,0,32768,7,0.9920212765957447,0.9893992932862191,16,5.432772636413574,
qp_tense_sae_layer13.parquet,tense,0.5,2000,0.0001,none,1411,0,32768,7,0.9920212765957447,0.9893992932862191,16,5.449886083602905,
qp_tense_sae_layer13.parquet,tense,0.5,3000,0.0001,none,1411,0,32768,7,0.9920212765957447,0.9893992932862191,16,5.481614112854004,
qp_tense_sae_layer13.parquet,tense,0.5,4000,0.0001,none,1411,0,32768,7,0.9920212765957447,0.9893992932862191,16,5.3410964012146,
qp_tense_sae_layer13.parquet,tense,0.5,5000,0.0001,none,1411,0,32768,7,0.9920212765957447,0.9893992932862191,16,5.406218767166138,
qp_tense_sae_layer13.parquet,tense,1.0,1000,0.0001,none,1411,0,32768,7,0.9937943262411347,0.9929328621908127,17,6.722492218017578,
qp_tense_sae_layer13.parquet,tense,1.0,2000,0.0001,none,1411,0,32768,7,0.9937943262411347,0.9929328621908127,17,7.12520432472229,
qp_tense_sae_layer13.parquet,tense,1.0,3000,0.0001,none,1411,0,32768,7,0.9937943262411347,0.9929328621908127,17,7.130449295043945,
qp_tense_sae_layer13.parquet,tense,1.0,4000,0.0001,none,1411,0,32768,7,0.9937943262411347,0.9929328621908127,17,7.123181581497192,
qp_tense_sae_layer13.parquet,tense,1.0,5000,0.0001,none,1411,0,32768,7,0.9937943262411347,0.9929328621908127,17,7.1176745891571045,
qp_tense_sae_layer13.parquet,aspect,0.25,1000,0.0001,none,1411,0,32768,2,0.9884751773049646,0.9929328621908127,6,1.056011438369751,
